stop_id,stop_code,stop_name,stop_lat,stop_lon
81,,Botanical Garden,28.564198,77.334659
82,,Noida Sec -18,28.570843,77.326086
83,,Noida Sec -16,28.577921,77.318117
84,,Noida Sec -15,28.585018,77.311586
85,,New Ashok Nagar,28.58847,77.301460
86,,Mayur Vihar Ext,28.594124,77.294495
87,,Mayur Vihar-I,28.604426,77.289418
88,,Akshardham,28.618365,77.279816
89,,Yamuna Bank,28.623178,77.267933
90,,Indraprastha,28.620272,77.250073
91,,Supreme Court,28.623438,77.242502
92,,Mandi House,28.625816,77.234724
93,,Barakhamba,28.629662,77.224875
94,,RK Ashram Marg,28.6392169,77.206294
95,,Jhandewalan,28.644312,77.199788
96,,Karol Bagh,28.643924,77.188413
97,,Rajendra Place,28.64241,77.191833
98,,Patel Nagar,28.645037,77.167046
99,,Shadipur,28.651431,77.156020
100,,Kirti Nagar,28.655773,77.148498
101,,Moti Nagar,28.657803,77.140485
102,,Ramesh Nagar,28.652809,77.131460
103,,Rajouri Garden,28.649157,77.122749
104,,Tagore Garden,28.643795,77.112745
105,,Subash Nagar,28.640381,77.102731
106,,Tilak Nagar,28.636568,77.096335
107,,Janak Puri East,28.633121,77.086580
108,,Janak Puri West,28.629636,77.077864
109,,Uttam Nagar East,28.624643,77.063128
110,,Uttam Nagar West,28.621672,77.055665
111,,Nawada,28.620222,77.044990
112,,Dwarka Mor,28.619365,77.033188
113,,Dwarka,28.614898,77.022631
114,,Dwarka Sector - 14,28.602232,77.025938
115,,Dwarka Sector - 13,28.59705,77.033044
116,,Dwarka Sector - 12,28.592233,77.040559
117,,Dwarka Sector - 11,28.58642,77.049256
118,,Dwarka Sector - 10,28.581109,77.057193
119,,Dwarka Sector - 9,28.574283,77.065088
120,,Dwarka Sector - 8,28.565707,77.064893
121,,Dwarka Sector - 21,28.552322,77.056201
122,,ITO,28.627204,77.240953
123,,Janpath,28.6278172,77.218959
124,,Khan Market,28.602683,77.228099
125,,Jawahar Lal Nehru Stadium,28.590476,77.233071
126,,Jangpura,28.583231,77.239659
127,,Lajpat Nagar,28.570706,77.233120
128,,Moolchand,28.564628,77.234219
129,,Kailash Colony,28.554617,77.239740
130,,Nehru Place,28.551135,77.251507
131,,Kalkaji Mandir,28.549531,77.258786
132,,Govind Puri,28.544412,77.264256
133,,Harkesh Nagar Okhla,28.543193,77.275955
134,,Jasola-Apollo,28.538084,77.285537
135,,Sarita Vihar,28.528622,77.288342
136,,Mohan Estate,28.51959,77.294521
137,,Tughlakabad Station,28.502231,77.298658
138,,Badarpur Border,28.4932,77.300851
139,,Sarai,28.47794,77.304930
140,,NHPC Chowk,28.4624347,77.305254
141,,Mewala Maharajpur,28.4485,77.308100
142,,Sector-28,28.4405855,77.3059886
143,,Badkal Mor,28.4227075,77.310233
144,,Old Faridabad,28.4121722,77.311268
145,,Neelam Chowk Ajronda,28.4007078,77.309108
146,,Bata Chowk,28.3863629,77.298786
147,,Escorts Mujesar,28.3702,77.315000
148,,Sikanderpur (Rapid Metro),28.480833,77.094248
149,,Phase 2 (Rapid Metro),28.48837,77.092864
150,,Belvedere Towers (Rapid Metro),28.492066,77.088144
151,,Cyber City (Rapid Metro),28.498478,77.089088
152,,Moulsari Avenue (Rapid Metro),28.501571,77.094538
153,,Phase 3 (Rapid Metro),28.494329,77.093551
154,,IGI Airport,28.554868,77.087924
155,,Delhi Aerocity,28.548792,77.120741
156,,Dhaula Kuan,28.591775,77.161548
157,,Shivaji Stadium,28.629008,77.209212
158,,Delhi Gate,28.640487,77.240303
159,,Jama Masjid ,28.650392,77.237559
160,,Lal Quila,28.657576,77.236593
161,,Okhla Bird Sanctuary,28.552816,77.321567
162,,Kalindi Kunj,28.542835,77.310172
163,,Jasola Vihar Shaheen Bagh,28.546006,77.296711
164,,Okhla Vihar,28.561255,77.291919
165,,Jamia Millia Islamia,28.562944,77.286207
166,,Sukhdev Vihar,28.559886,77.275119
167,,Okhla NSIC ,28.554575,77.264866
168,,Phase-I (Rapid Metro),28.471981,77.094009
169,,Sector 42-43 (Rapid Metro),28.458475,77.096841
170,,Sector 53-54 (Rapid Metro),28.447533,77.100489
171,,Sector 54 Chowk (Rapid Metro),28.434212,77.104781
172,,Sector 55-56 (Rapid Metro),28.424588,77.105038
173,,Majlis Park,28.724158,77.182067
174,,Shalimar Bagh,28.701821,77.165184
175,,Shakurpur,28.685782,77.149650
176,,Punjabi Bagh West,28.672746,77.139186
177,,ESI Basai Darapur,28.65816,77.127319
178,,Mayapuri,28.637099,77.129736
179,,Naraina Vihar,28.62412,77.136483
180,,Delhi Cantt.,28.608641,77.140372
181,,Durgabai Deshmukh South Campus ,28.589376,77.169514
182,,Nehru Enclave,28.545857,77.251161
183,,Greater Kailash,28.541836,77.238240
184,,Chirag Delhi,28.54123,77.229382
185,,Panchsheel Park,28.54234,77.220510
186,,IIT,28.547193,77.193831
187,,RK Puram,28.550486,77.184948
188,,Munirka,28.557822,77.174030
189,,Vasant Vihar,28.5583778,77.160778
190,,Shankar Vihar,28.560788,77.140444
191,,Terminal 1- IGI Airport,28.565275,77.122389
192,,Sadar Bazar Contonment,28.577109,77.111304
193,,Palam,28.589067,77.082956
194,,Dashrath Puri,28.602333,77.082549
195,,Dabri Mor - Janakpuri South,28.615903,77.085257
196,,Mundka Industrial Area (M.I.A),28.6839603,76.989822
197,,Ghevra Metro station,28.6852888,76.993584
198,,Tikri Kalan,28.686899,76.977247
199,,Tikri Border,28.687876,76.963782
200,,Pandit Shree Ram Sharma,28.689212,76.951090
201,,Bahadurgarh City,28.690784,76.935265
202,,Brigadier Hoshiyar Singh,28.697428,76.919129
203,,Sir Vishweshwaraiah Moti Bagh,28.578529,77.175713
204,,Bhikaji Cama Place,28.570207,77.187869
205,,Sarojini Nagar,28.570207,77.187869
206,,South Extension,28.568599,77.219819
207,,Trilokpuri Sanjay Lake,28.613507,77.308676
208,,East Vinod Nagar - Mayur Vihar-II,28.620052,77.305588
209,,Mandawali - West Vinod Nagar,28.624861,77.304143
210,,IP Extension,28.6316,77.310900
211,,Karkarduma Court,28.649474,77.295345
212,,Krishna Nagar,28.657819,77.290309
213,,East Azad Nagar,28.665042,77.284603
214,,Jafrabad,28.682944,77.275069
215,,Maujpur - Babarpur,28.692057,77.280920
216,,Gokulpuri,28.703008,77.286297
217,,Johri Enclave,28.713296,77.290153
218,,Shiv Vihar,28.721863,77.289636
219,,Sant Surdas (Sihi),28.354666,77.31626
220,,Raja Nahar Singh,28.3399,77.3316539
221,,Vinobapuri,28.566180,77.24937
222,,Ashram,28.576065,77.257534
223,,Sarai Kale Khan - Nizamuddin,28.588899,77.253192
224,,Mayur Vihar Pocket 1,28.606598,77.2963233
225,,Shaheed Sthal (New Bus Adda),28.670178,77.416029
226,,Hindon River,28.673508,77.406538
227,,Arthala,28.677201,77.391876
228,,Mohan Nagar,28.678561,77.384210
229,,Shyam Park,28.678217,77.370911
230,,Major Mohit Sharma Rajender Nagar,28.678095,77.359528
231,,Raj Bagh,28.677123,77.346463
232,,Shaheed Nagar,28.676614,77.333806
233,,Noida Sec-34,28.580229,77.363517
234,,Noida Sec-52,28.58685,77.372748
235,,Noida Sec-61,28.597678,77.372366
236,,Noida Sec-59,28.609089,77.372959
237,,Noida Sec-62,28.616991,77.373610
238,,Noida Electronic City,28.628685,77.375232
239,,Nangli,28.61722,77.010349
240,,Najafgarh,28.613315,76.986263
241,,Dhansa Bus Stand,28.6118577,76.9754261
